Product_Name,Customer_Name,date_time,Price_Product,Customer_email,Name_cashier,mobile_number,Transportation_fare,amount_discount,Amount_received
Flour - Chickpea,Joseito,8/19/2023,$6.28 ,ljessope0@slate.com,Lynnelle,393-896-7782,$2.29 ,$8.73 ,$1.51 
"Lamb - Leg, Bone In",Marielle,2/5/2023,$6.08 ,kbeyn1@amazon.de,Kerstin,526-832-7064,$1.89 ,$0.95 ,$4.94 
Buffalo - Tenderloin,Tanya,5/12/2023,$9.02 ,mcroysdale2@berkeley.edu,Mandy,604-750-1251,$9.13 ,$0.43 ,$9.34 
Muffins - Assorted,Hamlin,10/21/2023,$3.91 ,rhorsfield3@desdev.cn,Rogers,656-353-1535,$7.76 ,$6.04 ,$3.49 
Alize Sunset,Whitney,11/27/2023,$2.60 ,acowin4@apache.org,Abdel,725-443-5824,$3.66 ,$0.11 ,$4.66 
"Yogurt - Cherry, 175 Gr",Lucienne,10/9/2023,$4.15 ,psurcombe5@epa.gov,Pascale,560-942-4524,$8.56 ,$9.39 ,$9.31 
"Chilli Paste, Sambal Oelek",Rhys,4/6/2023,$7.80 ,cguiet6@amazonaws.com,Courtney,363-677-5149,$7.90 ,$4.78 ,$2.35 
"Turkey - Whole, Fresh",Christalle,12/18/2023,$5.33 ,cpicheford7@unicef.org,Clayson,550-891-6220,$8.08 ,$0.83 ,$0.64 
Mikes Hard Lemonade,Ag,3/8/2023,$3.16 ,ddabels8@wired.com,Danice,540-824-8532,$5.69 ,$2.61 ,$9.15 
Cheese - Montery Jack,Tonya,8/16/2023,$2.89 ,rfishenden9@mlb.com,Raff,242-526-5326,$3.11 ,$4.62 ,$6.40 
Wine - Lou Black Shiraz,Wendie,10/21/2023,$1.56 ,mchoppena@livejournal.com,Marris,490-619-9547,$9.86 ,$4.61 ,$0.02 
"Beef - Chuck, Boneless",Odelia,3/4/2023,$4.40 ,agiacovazzob@facebook.com,Augie,713-533-9372,$8.27 ,$7.72 ,$3.45 
"Nut - Cashews, Whole, Raw",Nananne,10/7/2023,$0.75 ,ssauntonc@4shared.com,Sybil,751-181-7669,$8.16 ,$0.95 ,$4.31 
Flour - Pastry,Wilhelmina,8/12/2023,$5.63 ,bwhalld@issuu.com,Bernardine,884-580-9225,$7.69 ,$0.79 ,$9.84 
Wine - Barbera Alba Doc 2001,Chauncey,8/30/2023,$6.15 ,lwillbrahame@addtoany.com,Lawry,725-320-5038,$6.67 ,$1.92 ,$5.08 
Broom - Push,Coralie,2/19/2023,$1.49 ,frawlinf@webs.com,Franny,318-190-5984,$0.20 ,$4.15 ,$1.80 
Compound - Rum,Ethyl,9/12/2023,$8.52 ,dprivostg@msn.com,Damien,226-971-5543,$7.65 ,$4.18 ,$7.67 
Galliano,Hazel,11/2/2023,$6.94 ,rfrenzelh@bing.com,Robenia,859-365-0016,$7.43 ,$2.27 ,$5.02 
Wine - Riesling Dr. Pauly,Mayer,12/5/2023,$7.27 ,edelabarrei@howstuffworks.com,Emilio,468-467-5768,$2.06 ,$6.13 ,$9.27 
Appetizer - Escargot Puff,Lyndsay,7/23/2023,$0.44 ,katkinj@oracle.com,Kerk,307-108-2980,$2.43 ,$1.97 ,$1.11 
"Chocolate - Milk, Callets",Kelcy,5/1/2023,$6.40 ,brembrantk@seattletimes.com,Borg,647-307-8399,$3.23 ,$3.46 ,$8.33 
Sauce - Salsa,Michaela,3/26/2023,$0.43 ,dbolstridgel@ca.gov,Domenic,326-317-2966,$5.48 ,$6.87 ,$6.07 
Hand Towel,Sax,3/28/2023,$3.06 ,mcorderm@odnoklassniki.ru,Maure,785-269-4367,$9.71 ,$2.47 ,$3.14 
Container - Clear 16 Oz,Isabel,10/30/2023,$6.09 ,emacnamaran@storify.com,Elihu,845-970-3441,$0.27 ,$2.89 ,$5.49 
Pancetta,Pat,11/29/2023,$9.90 ,gstegero@jugem.jp,Garrick,902-716-5136,$2.30 ,$6.36 ,$2.97 
Cocoa Feuilletine,Rozanne,4/9/2023,$6.10 ,jpedronip@ameblo.jp,Joby,716-972-7098,$7.40 ,$7.92 ,$0.59 
Filter - Coffee,Arlen,7/10/2023,$7.10 ,tcaveeq@umn.edu,Tedie,340-464-9473,$8.88 ,$6.59 ,$1.98 
Beef - Top Butt,Hillel,1/14/2023,$6.43 ,kbelsherr@github.io,Karney,820-314-6886,$6.08 ,$7.86 ,$6.32 
"Pasta - Spaghetti, Dry",Jeddy,12/15/2023,$0.36 ,dsidwicks@bloomberg.com,Dillie,352-916-1319,$4.16 ,$0.35 ,$0.66 
Pork - Ham Hocks - Smoked,Modestia,9/29/2023,$3.65 ,ddoryt@baidu.com,Danny,823-807-5169,$7.32 ,$5.28 ,$8.22 
Jam - Raspberry,Ernest,5/28/2023,$9.74 ,avaseninu@joomla.org,Alyss,355-337-4192,$3.06 ,$2.11 ,$3.23 
"Sauce - Bernaise, Mix",Leela,1/9/2023,$7.14 ,mbunneyv@creativecommons.org,Marjory,692-638-7931,$5.95 ,$3.88 ,$5.11 
